"Azure Cost Estimator — 서비스별 구현·검증 현황"
"기준: main v127, 2026-08-20 · 총 44개 카테고리 · 모든 가격은 Azure Retail Prices API 실시간 조회(하드코딩 없음)"
"※ 1~22번은 v80 기준 서술. v90~v99 신설 5종(Azure Files Provisioned v2, Page Blob, Data Lake Storage Gen2, SQL Elastic Pool, SQL Managed Instance)은 CHANGELOG 참고. 23~30번은 v100, 31~34번은 v115, 35~39번은 v127 신설"
"검증 수준 — 라이브 검증: koreacentral API 데이터로 매칭 확인 / 미검증: 실데이터 확인 안 됨 / 취약: 매칭 로직이 실제 SKU와 불일치 가능. 실제 화면 동작은 브라우저에서 최종 확인 권장"
""
"번호","서비스 (드롭다운)","파일","구현 방식","검증 수준","계산 항목","주요 옵션","관련 버전","알려진 한계 / 미구현"
"10","Application Gateway","app-gateway.js","전용 resolver","라이브 검증","v2 제품군=고정 비용+용량 단위(CU); v1 제품군=게이트웨이(시간당)+데이터 처리(GB)","sku(Standard_v2/WAF_v2/Basic_v2/Standard_Small·Medium·Large/WAF_Medium·Large), metric(SKU별 전환)","v65","'- Discounted' 예약형 제품 정확 일치로 제외; 데이터 처리는 무료 구간 제외 후 첫 유료 구간; WAF v1은 데이터 처리 미터 없음; AGC(for Containers) 범위 외; 절약/예약 미적용"
"11","Public IP","public-ip.js","전용 resolver","라이브 검증","SKU별 IPv4 공인 IP 시간당 요금(Static/Dynamic)","sku(Standard/Global/Basic), ipType(SKU별 전환)","v66","미터명 '<SKU> IPv4 <유형> Public IP' 정확 일치; Standard·Global은 Static만(Dynamic 미지원); IPv6·Public IP Prefix 범위 외; 절약/예약 미적용"
"12","Azure Firewall","firewall.js","전용 resolver","라이브 검증","계층별 Deployment(배포) / Data Processed(데이터) / Capacity Unit(용량 단위)","tier(Standard/Premium/Basic), metric(계층별 전환)","v67","독립형(VNet) 방화벽 기준; Basic은 Capacity Unit 없음; 'Secured Virtual Hub'(Virtual WAN) SKU는 skuName 정확 일치로 제외; 절약/예약 미적용"
"13","Azure SQL Database","sql-database.js","전용 resolver","라이브 검증","vCore 모델 컴퓨팅 요금(용량제+절약 1년+예약 1·3년). vCore 선형 비례","tier(GP/BC/Hyperscale), compute, hardware(계층별 전환), vCores, redundancy(로컬/ZR)","v68, v79, v80","Provisioned는 N vCore 정확가 우선/없으면 per-vCore×N; Serverless는 per-vCore×N(최대 vCore 상한); 절약 플랜·예약은 per-vCore savingsPlan/Reservation을 시간당 환산×N(v79). 절약은 1년만(API에 3년 없음), 예약은 Provisioned·非Fsv2만(Serverless/Fsv2는 '예약 미제공' 표기). v80: 중복성(로컬/영역중복ZR) 옵션 추가 — ZR은 별도 가산 미터(meter 'Zone Redundancy vCore')를 용량제·절약·예약에 합산, ZR 미터 없는 조합(BC/HS)은 로컬 기준+안내. 예약 조회 일시 실패 시 1회 재시도+상태 표기. 스토리지/백업·DTU 모델·Elastic Pool 미터는 범위 외"
"14","App Service","app-service.js","전용 resolver","라이브 검증","계층×OS×인스턴스 App Service Plan 시간당 요금","tier(Free/Basic/Standard/Premium v3/Isolated v2), os(Win/Linux), size(계층별 전환)","v69","productName(계층+OS)+skuName 정확 일치(skuName 공백 표기 'P1 v3'); Windows/Linux 단가 차이 반영; Shared·스탬프·컨테이너·도메인/SSL 범위 외; 절약/예약 미적용"
"15","NAT Gateway","nat-gateway.js","전용 resolver","라이브 검증","청구항목(Resource Hour / Data Processed)","metric","v70","미터는 리전 비종속(armRegionName='Global'); skuName='Standard' 정확 일치; StandardV2(Log Enabled) 범위 외; 절약/예약 미적용"
"16","Azure Database for MySQL","mysql.js","전용 resolver","라이브 검증","Flexible Server 계층별(용량제+절약 1년+예약 1·3년) — Burstable=인스턴스, GP=per-vCore×N, BC=E시리즈 N vCore","tier(Burstable/General Purpose/Business Critical), instance/vCores(계층별 전환)","v71, v79","계층별 productName 분리; GP는 per-vCore×N, BC는 'N vCore' 정확 일치; 절약은 savingsPlan 환산, 예약은 세대 무관 generic 'Series Compute' 제품(skuName='vCore') 시간당 환산×N(v79); Burstable 예약 미제공·절약 1년만(빈칸 정상); Single Server·스토리지/백업 범위 외"
"17","Bandwidth","bandwidth.js","전용 resolver","라이브 검증","전송 방향별 데이터 전송 요금(Internet Egress / Inter-region / Intra-region)","direction","v72","productName='Rtn Preference: MGN' + meterName 정확 일치; Egress는 무료 100GB·대용량 할인 미반영(첫 유료 구간 0.12); Routing Preference: Internet·In(수신)·China 범위 외; 절약/예약 미적용"
"18","Storage Account","storage-account.js","전용 resolver","라이브 검증","Table/Queue 스토리지 — 종류×중복성 — Data Stored / Write / Read","storageType(Table/Queue), redundancy, metric","v78","범용 v2 계정의 Table·Queue만 다룸(Blob/파일은 별도 카테고리); productName(Tables/Queues v2)+skuName='Standard <중복성>'; 작업 미터는 종류별 표기 차이(Table=Write/Read Operations, Queue=Class 1/2 Operations)를 키워드+대안으로 매칭; Account Encrypted·Batch/Additional IO 범위 외; 절약/예약 미적용"
"19","Virtual Network","virtual-network.js","전용 resolver","라이브 검증","글로벌 VNet 피어링 데이터 전송(Egress/Ingress, GB)","direction","v78","VNet 리소스 자체는 무료 — 피어링 데이터 전송만 과금; productName='Global Virtual Network Peering'+meterName 정확 일치(0.09/GB); 동일 리전 내(Intra-Region) 피어링·공인 IP(Public IP 카테고리)·Public IP Prefix 범위 외; 절약/예약 미적용"
"20","Log Analytics","log-analytics.js","전용 resolver","라이브 검증","Analytics Logs — Data Ingestion / Data Retention / Data Analyzed (GB)","metric","v78","skuName='Analytics Logs'+meterName 키워드 매칭; 수집은 무료(0.0) 미터 제외 후 유료 단가 사용; Free 계층·Basic/Auxiliary Logs·커밋 계층(Commitment Tier) 범위 외; 절약/예약 미적용"
"21","Microsoft Sentinel","sentinel.js","전용 resolver","라이브 검증","과금 모델별 — Pay-as-you-go/Basic Logs(GB) / Commitment Tier(일)","model","v78","productName='Sentinel'+skuName(과금 모델) 정확 일치; Commitment Tier는 1/Day 단위(usage=일수); Free Trial·M365 Defender 무료 혜택·SAP 솔루션·Classic Auxiliary Logs 범위 외; 절약/예약 미적용"
"22","Azure Synapse Analytics","synapse.js","전용 resolver","라이브 검증","구성요소별 — Dedicated SQL Pool(DWU,시간, 용량제+예약 1·3년) / Serverless SQL(TB) / Data Flow(vCore-시간)","component, dwuLevel/flowType(구성요소별 전환)","v78, v79","구성요소별 productName 분리; Dedicated는 skuName=DWU 레벨+meter '100 DWUs'; 예약(1·3년)은 같은 product의 Reservation(skuName=DWU) 시간당 환산(v79, 현재 API엔 DW100c만 존재→다른 레벨 빈칸 정상); Synapse 절약 플랜 미제공; Serverless='Standard Data Processed'(TB); Data Flow=meter 'vCore'; 파이프라인/IR·SSIS·Spark 풀 범위 외"
"23","Azure Cosmos DB","cosmos-db.js","전용 resolver","라이브 검증","과금 모델별 — Provisioned 수동(100 RU/s×RU/100, 시간당)/Autoscale(1.5배, 최대 RU 기준)/Serverless(1M RU)/저장소(GB/월)","model, rus(RU/s)","v100","다중 리전 쓰기(mRUs)·RU/m·Dedicated Gateway·Analytics Storage·백업(PITR/Snapshot)·DocumentDB(vCore)·Free Tier 범위 외; Autoscale Entry Price·최소 10% 과금 규칙 미반영; 절약/예약 미적용"
"24","Azure Cache for Redis","redis-cache.js","전용 resolver","라이브 검증","계층×캐시 크기 시간당 요금 — Basic/Standard/Premium(C0~C6/P1~P5) + Enterprise/Enterprise Flash + Azure Managed Redis 4개 제품군","tier, sku(계층별 전환)","v100","meter '<SKU> Cache'(전체 요금) 우선, 없으면 '<SKU> Cache Instance'; 리전에 없는 SKU는 매칭 실패 정상; 'E1 Internal' 제외; 절약/예약 미적용"
"25","API Management","api-management.js","전용 resolver","라이브 검증","계층별 유닛(시간당) — Developer/Basic/Standard/Premium/v2 3종/Self-hosted Gateway + Consumption(10K 콜)","tier","v100","meter '<계층> Unit' 정확 일치; Consumption은 유료 구간 단가(무료 100만 콜 미반영); Workspace Pack·Secondary Unit·Isolated 범위 외; 절약/예약 미적용"
"26","Azure Private Link","private-link.js","전용 resolver","라이브 검증","프라이빗 엔드포인트(시간당)/데이터 처리 Inbound·Outbound(GB)","metric","v100","미터는 리전 비종속(armRegionName='Global', serviceName='Virtual Network'); 데이터 처리는 계단형 첫 구간(1PB+ 할인 미반영); Service Endpoint 미터 범위 외; 절약/예약 미적용"
"27","Azure Container Registry","container-registry.js","전용 resolver","라이브 검증","계층(Basic/Standard/Premium) × 레지스트리(일 단위)/추가 저장소(GB/월)","tier, metric","v100","저장소는 포함 용량(10/100/500GB) 초과분만 입력; Task vCPU(빌드)·Connected Registry·Geo-replication 범위 외; 절약/예약 미적용"
"28","Azure DNS","azure-dns.js","전용 resolver","라이브 검증","영역 종류(Public/Private) × 호스팅 영역(월, Qty=영역 수)/쿼리(백만)","zoneType, metric","v100","리전 비종속(존 단위) — Gov 존 제외, 공통('')→Zone 순 선택; 첫 25개 영역·첫 10억 쿼리 단가(초과 할인 미반영); Record Set·Security Policy·Private Resolver 범위 외; 절약/예약 미적용"
"29","Azure DevOps","azure-devops.js","전용 resolver","라이브 검증","요금제별 월 과금 — Basic Plan/Advanced/Test Plans 사용자, Artifacts 저장소(GB), MS-hosted/Self-hosted 병렬 작업","plan","v100","리전 비종속; usage=1·Qty=수량; 무료 한도(Basic 5명, Artifacts 2GB, 무료 병렬 작업) 미반영; 분당 과금 Job·부하 테스트 범위 외; 절약/예약 미적용"
"30","Azure OpenAI","azure-openai.js","전용 resolver","라이브 검증","모델 15종 × 토큰 종류(입력/출력/캐시 입력) — 1M 토큰당 단가로 통일(1K 미터는 ×1000 환산)","model, metric","v100","serviceName='Foundry Models', skuName 정확 일치(Global 배포 'glbl/Gl' 기준); 임베딩은 입력만; Data Zone/Regional·Batch·Fine-tuning·오디오/이미지/실시간·PTU(프로비저닝 처리량) 범위 외; 절약/예약 미적용"
"31","Event Hubs","event-hubs.js","전용 resolver","라이브 검증","계층(Basic/Standard/Premium/Dedicated/Geo Replication Zone N) × 청구 항목(Throughput Unit·Ingress Events·Capture·Kafka Endpoint 등)","tier, item","v115","계층 변경 시 청구 항목 재구성; Hours 칸에 항목 단위를 그대로 입력(1 Hour→730, 1M→백만 건); Geo Replication 은 리전이 속한 존만 매칭; 절약/예약 미적용"
"32","Service Bus","service-bus.js","전용 resolver","라이브 검증","계층(Basic/Standard/Premium/Hybrid Connections/WCF Relay) × 청구 항목(Base Unit·Messaging Operations·Messaging Unit 등)","tier, item","v115","무료 허용량 구간(Standard Messaging Operations 첫 13M, Brokered Connection 첫 1,000개, Hybrid Connections 첫 5GB)은 0원 구간을 건너뛰고 첫 유료 구간 사용; 절약/예약 미적용"
"33","Container Apps","container-apps.js","전용 resolver","라이브 검증","플랜(Consumption/Standard/Dedicated) × 청구 항목(vCPU Active Usage·Memory·Requests·Plan Management 등)","plan, item","v115","Hours 칸 단위가 항목마다 다름(1 Second·1 GiB Second·1M); 무료 허용량 미반영; 절약/예약 미적용"
"34","Azure Front Door","front-door.js","전용 resolver","라이브 검증","계층(Standard/Premium) × 요금 존(Zone 1~8) × 청구 항목(Base Fees·Data Transfer·Requests·WAF·Rules 등)","tier, zone, item","v115","글로벌 서비스 — Region 열을 무시하고 zone 으로 가격이 정해짐(Zone 2=한국·일본); Standard Included Routing Rules 는 5개 포함(0원) 구간을 건너뜀; 절약/예약 미적용"
"35","Microsoft Fabric","fabric.js","전용 resolver","라이브 검증","용량(F2~F2048, CU 시간 × CU 수) + 예약 1·3년 / OneLake 저장소(Hot·Cool·Cold·캐시·BCDR·SQL·미러링, GB/월)","metric, capacity, storageItem","v127","API 에 F SKU 단일 미터가 없어 productName=Fabric Capacity 의 '… Capacity Usage CU' 유료 미터 최빈 단가 × CU 수로 계산(초과분 Capacity Overage·서버리스 미터 제외); Copilot/AI·OneLake 트랜잭션 미터·자동 스케일·Power BI Premium P/EM SKU 범위 외; 절약 플랜 없음"
"36","Azure Monitor","azure-monitor.js","전용 resolver","라이브 검증","그룹(메트릭/경고/로그/약정 계층/웹 테스트) × 청구 항목 — 메트릭 수집·경고 규칙(주기별)·기본/보조/플랫폼 로그·보관/복원/복제/내보내기·검색·약정 계층(100~50000 GB/일)","group, item","v127","이 서비스만 productName 이 전부 'Azure Monitor' 한 값이고 청구 항목 묶음이 skuName 에 있어 매칭 축이 skuName+meterName; 국가코드별 SMS·Voice·Webhook 알림 미터(대부분 0원)와 Alerts Metric Monitored(0원) 범위 외; 분석 로그 수집·보존은 Log Analytics 카테고리; 절약/예약 미적용"
"37","Azure Key Vault","key-vault.js","전용 resolver","라이브 검증","계층(Standard/Premium/Managed HSM) × 청구 항목 — 작업(10K)·고급 키 작업·HSM 보호 키(Premium)·인증서 갱신·비밀 갱신·자동 키 순환·Managed HSM B1 인스턴스(시간)","tier, metric","v127","Managed HSM 은 B1 외 SKU 미지원; Dedicated HSM(별도 serviceName) 범위 외; 절약/예약 미적용"
"38","GitHub","github.js","전용 resolver","라이브 검증","요금제 21종 — Enterprise·Copilot(Business/Enterprise/Premium Request)·Advanced Security·Code/Secret Scanning·Code Quality·Actions 실행(분)·Storage·Codespaces·Bandwidth","plan","v127","리전 비종속(Global) — Region 열이 가격에 영향 없음; 무료 포함량(Actions 분·Storage) 미반영; Actions 대형 러너 개별 Job 미터·AI Credit·Sandbox 컴퓨트·사전 구매 플랜(GCU) 범위 외; 절약/예약 미적용"
"39","Azure Machine Learning","azure-ml.js","전용 resolver","라이브 검증","워크스페이스 추가 요금(Surcharge) — vCPU·GPU·학습 vCPU·학습 GPU·PB vCPU (시간당)","metric","v127","워크스페이스는 무료이고 관리형 컴퓨팅은 VM 요금이므로 컴퓨팅은 Virtual Machine 행으로 별도 계산; 추가 요금은 리전·SKU 에 따라 0원이 정상(매칭 실패 아님); Managed Model Hosting(토큰 과금)·Enterprise Inferencing 제품군 범위 외; 절약/예약 미적용"
"[B] 제네릭 처리(엔진에 매핑 존재): 없음(전부 A 그룹으로 승격, v62~v70)","","","","","","","",""
"[C] 제네릭 기본 경로(전용 매핑 없음): 없음(전부 A 그룹으로 승격, v71~v72)","","","","","","","",""
"[미지원] Elastic Cloud(Elasticsearch) — Azure Marketplace SaaS 라 Retail Prices API 에 단가가 없어 카테고리를 만들 수 없음. 자체 관리형이면 Virtual Machine + Disk 행으로, 관리형이면 Elastic 견적을 옮겨 적을 것 (v127 확인)","","","","","","","",""
""
"요약","","","","","","","",""
"A 그룹 — 전용 resolver + 라이브 검증 (44개, 전체): Virtual Machine, Disk, VPN Gateway, Azure Kubernetes Service, Blob Storage, Backup, Azure Files, Azure Bastion, Load Balancer, Application Gateway, Public IP, Azure Firewall, Azure SQL Database, App Service, NAT Gateway, Azure Database for MySQL, Bandwidth, Storage Account, Virtual Network, Log Analytics, Microsoft Sentinel, Azure Synapse Analytics, Azure Files Provisioned v2, Page Blob, Data Lake Storage Gen2, Azure SQL Database Elastic Pool, Azure SQL Managed Instance, Azure Cosmos DB, Azure Cache for Redis, API Management, Azure Private Link, Azure Container Registry, Azure DNS, Azure DevOps, Azure OpenAI, Event Hubs, Service Bus, Container Apps, Azure Front Door, Microsoft Fabric, Azure Monitor, Azure Key Vault, GitHub, Azure Machine Learning","","","","","","","",""
"B 그룹 — 없음(8개 전부 A 그룹으로 승격 완료, v62~v70)","","","","","","","",""
"C 그룹 — 없음(2개 전부 A 그룹으로 승격 완료, v71~v72)","","","","","","","",""
"완료: 44개 카테고리 전부 전용 resolver + 라이브 검증. B 그룹 8개(v62~v70) + C 그룹 2개(MySQL v71, Bandwidth v72) 승격 종료. v78에서 Storage Account·Virtual Network·Log Analytics·Microsoft Sentinel·Azure Synapse Analytics 5종, v115에서 Event Hubs·Service Bus·Container Apps·Azure Front Door 4종, v127에서 Microsoft Fabric·Azure Monitor·Azure Key Vault·GitHub·Azure Machine Learning 5종 신설","","","","","","","",""
